lib,tbt_ms,cdf
nccl,36.0,9.294544102611767e-05
nccl,36.0,0.00018589088205223534
nccl,36.0,0.000278836323078353
nccl,36.0,0.0003717817641044707
nccl,36.0,0.00046472720513058836
nccl,37.0,0.000557672646156706
nccl,37.0,0.0006506180871828237
nccl,37.0,0.0007435635282089414
nccl,37.0,0.000836508969235059
nccl,37.0,0.0009294544102611767
nccl,37.0,0.0010223998512872944
nccl,37.0,0.001115345292313412
nccl,37.0,0.0012082907333395296
nccl,37.0,0.0013012361743656475
nccl,37.0,0.001394181615391765
nccl,37.0,0.0014871270564178827
nccl,37.0,0.0015800724974440003
nccl,37.0,0.001673017938470118
nccl,37.0,0.0017659633794962356
nccl,37.0,0.0018589088205223534
nccl,37.0,0.001951854261548471
nccl,37.0,0.0020447997025745887
nccl,37.0,0.0021377451436007063
nccl,37.0,0.002230690584626824
nccl,37.0,0.0023236360256529416
nccl,37.0,0.0024165814666790592
nccl,37.0,0.002509526907705177
nccl,37.0,0.002602472348731295
nccl,37.0,0.0026954177897574125
nccl,37.0,0.00278836323078353
nccl,37.0,0.002881308671809648
nccl,37.0,0.0029742541128357654
nccl,38.0,0.003067199553861883
nccl,38.0,0.0031601449948880007
nccl,38.0,0.0032530904359141183
nccl,38.0,0.003346035876940236
nccl,38.0,0.0034389813179663536
nccl,38.0,0.003531926758992471
nccl,38.0,0.0036248722000185893
nccl,38.0,0.003717817641044707
nccl,38.0,0.0038107630820708245
nccl,38.0,0.003903708523096942
nccl,38.0,0.003996653964123059
nccl,38.0,0.004089599405149177
nccl,38.0,0.0041825448461752955
nccl,38.0,0.004275490287201413
nccl,38.0,0.004368435728227531
nccl,38.0,0.004461381169253648
nccl,38.0,0.004554326610279766
nccl,38.0,0.004647272051305883
nccl,38.0,0.004740217492332001
nccl,38.0,0.0048331629333581184
nccl,39.0,0.0049261083743842365
nccl,39.0,0.005019053815410354
nccl,39.0,0.005111999256436472
nccl,39.0,0.00520494469746259
nccl,39.0,0.005297890138488707
nccl,39.0,0.005390835579514825
nccl,39.0,0.005483781020540942
nccl,39.0,0.00557672646156706
nccl,39.0,0.0056696719025931775
nccl,39.0,0.005762617343619296
nccl,39.0,0.005855562784645413
nccl,39.0,0.005948508225671531
nccl,39.0,0.006041453666697648
nccl,39.0,0.006134399107723766
nccl,39.0,0.006227344548749884
nccl,39.0,0.006320289989776001
nccl,39.0,0.0064132354308021194
nccl,39.0,0.006506180871828237
nccl,39.0,0.006599126312854355
