lib,ttft_ms,cdf
pickle,34.0,9.294544102611767e-05
pickle,37.0,0.00018589088205223534
pickle,43.0,0.000278836323078353
pickle,43.0,0.0003717817641044707
pickle,44.0,0.00046472720513058836
pickle,45.0,0.000557672646156706
pickle,45.0,0.0006506180871828237
pickle,46.0,0.0007435635282089414
pickle,46.0,0.000836508969235059
pickle,46.0,0.0009294544102611767
pickle,50.0,0.0010223998512872944
pickle,51.0,0.001115345292313412
pickle,52.0,0.0012082907333395296
pickle,53.0,0.0013012361743656475
pickle,53.0,0.001394181615391765
pickle,53.0,0.0014871270564178827
pickle,53.0,0.0015800724974440003
pickle,53.0,0.001673017938470118
pickle,54.0,0.0017659633794962356
pickle,54.0,0.0018589088205223534
pickle,55.0,0.001951854261548471
pickle,55.0,0.0020447997025745887
pickle,55.0,0.0021377451436007063
pickle,55.0,0.002230690584626824
pickle,55.0,0.0023236360256529416
pickle,55.0,0.0024165814666790592
pickle,55.0,0.002509526907705177
pickle,55.0,0.002602472348731295
pickle,55.0,0.0026954177897574125
pickle,55.0,0.00278836323078353
pickle,55.0,0.002881308671809648
pickle,55.0,0.0029742541128357654
pickle,55.0,0.003067199553861883
pickle,56.0,0.0031601449948880007
pickle,56.0,0.0032530904359141183
pickle,56.0,0.003346035876940236
pickle,56.0,0.0034389813179663536
pickle,56.0,0.003531926758992471
pickle,56.0,0.0036248722000185893
pickle,56.0,0.003717817641044707
pickle,56.0,0.0038107630820708245
pickle,56.0,0.003903708523096942
pickle,56.0,0.003996653964123059
pickle,56.0,0.004089599405149177
pickle,56.0,0.0041825448461752955
pickle,56.0,0.004275490287201413
pickle,56.0,0.004368435728227531
pickle,56.0,0.004461381169253648
pickle,56.0,0.004554326610279766
pickle,57.0,0.004647272051305883
pickle,57.0,0.004740217492332001
pickle,57.0,0.0048331629333581184
pickle,57.0,0.0049261083743842365
pickle,57.0,0.005019053815410354
pickle,57.0,0.005111999256436472
pickle,57.0,0.00520494469746259
pickle,57.0,0.005297890138488707
pickle,57.0,0.005390835579514825
pickle,57.0,0.005483781020540942
pickle,57.0,0.00557672646156706
pickle,57.0,0.0056696719025931775
pickle,57.0,0.005762617343619296
pickle,57.0,0.005855562784645413
pickle,57.0,0.005948508225671531
pickle,57.0,0.006041453666697648
pickle,57.0,0.006134399107723766
pickle,57.0,0.006227344548749884
pickle,57.0,0.006320289989776001
pickle,57.0,0.0064132354308021194
pickle,58.0,0.006506180871828237
pickle,58.0,0.006599126312854355
pickle,59.0,0.006692071753880472
pickle,60.0,0.00678501719490659
pickle,61.0,0.006877962635932707
pickle,63.0,0.006970908076958825
pickle,63.0,0.007063853517984942
pickle,63.0,0.0071567989590110605
pickle,63.0,0.0072497444000371785
pickle,63.0,0.007342689841063296
pickle,64.0,0.007435635282089414
pickle,64.0,0.007528580723115531
